session_id,title,speaker,abstract
32,Talk #19,Speaker #19,Abstract text here. This is what the session is about and what to expect.
33,Talk #20,Speaker #20,Abstract text here. This is what the session is about and what to expect.
34,Talk #21,Speaker #21,Abstract text here. This is what the session is about and what to expect.
35,Talk #22,Speaker #22,Abstract text here. This is what the session is about and what to expect.
36,Talk #23,Speaker #23,Abstract text here. This is what the session is about and what to expect.
37,Talk #24,Speaker #24,Abstract text here. This is what the session is about and what to expect.
38,Talk #25,Speaker #25,Abstract text here. This is what the session is about and what to expect.
39,Talk #26,Speaker #26,Abstract text here. This is what the session is about and what to expect.
40,Talk #27,Speaker #27,Abstract text here. This is what the session is about and what to expect.
41,Talk #28,Speaker #28,Abstract text here. This is what the session is about and what to expect.
42,Talk #29,Speaker #29,Abstract text here. This is what the session is about and what to expect.
43,Talk #30,Speaker #30,Abstract text here. This is what the session is about and what to expect.
44,Talk #31,Speaker #31,Abstract text here. This is what the session is about and what to expect.
45,Talk #32,Speaker #32,Abstract text here. This is what the session is about and what to expect.
46,Talk #33,Speaker #33,Abstract text here. This is what the session is about and what to expect.
47,Talk #34,Speaker #34,Abstract text here. This is what the session is about and what to expect.
48,Talk #35,Speaker #35,Abstract text here. This is what the session is about and what to expect.
49,Talk #36,Speaker #36,Abstract text here. This is what the session is about and what to expect.
50,Talk #37,Speaker #37,Abstract text here. This is what the session is about and what to expect.
51,Talk #38,Speaker #38,Abstract text here. This is what the session is about and what to expect.
52,Talk #39,Speaker #39,Abstract text here. This is what the session is about and what to expect.
53,Talk #40,Speaker #40,Abstract text here. This is what the session is about and what to expect.
54,Talk #41,Speaker #41,Abstract text here. This is what the session is about and what to expect.
55,Talk #42,Speaker #42,Abstract text here. This is what the session is about and what to expect.
56,Talk #43,Speaker #43,Abstract text here. This is what the session is about and what to expect.
57,Talk #44,Speaker #44,Abstract text here. This is what the session is about and what to expect.
58,Talk #45,Speaker #45,Abstract text here. This is what the session is about and what to expect.
59,Talk #46,Speaker #46,Abstract text here. This is what the session is about and what to expect.
60,Talk #47,Speaker #47,Abstract text here. This is what the session is about and what to expect.
61,Talk #48,Speaker #48,Abstract text here. This is what the session is about and what to expect.
62,Member Meeting and Business Lunch,President,Abstract text here. This is what the session is about and what to expect.
63,Talk #49,Speaker #49,Abstract text here. This is what the session is about and what to expect.
64,Talk #50,Speaker #50,Abstract text here. This is what the session is about and what to expect.
65,Talk #51,Speaker #51,Abstract text here. This is what the session is about and what to expect.
66,Talk #52,Speaker #52,Abstract text here. This is what the session is about and what to expect.
67,Talk #53,Speaker #53,Abstract text here. This is what the session is about and what to expect.
68,Talk #54,Speaker #54,Abstract text here. This is what the session is about and what to expect.
69,Talk #55,Speaker #55,Abstract text here. This is what the session is about and what to expect.
70,Talk #56,Speaker #56,Abstract text here. This is what the session is about and what to expect.
71,Talk #57,Speaker #57,Abstract text here. This is what the session is about and what to expect.
72,Talk #58,Speaker #58,Abstract text here. This is what the session is about and what to expect.
73,Talk #59,Speaker #59,Abstract text here. This is what the session is about and what to expect.
74,Talk #60,Speaker #60,Abstract text here. This is what the session is about and what to expect.
75,Talk #61,Speaker #61,Abstract text here. This is what the session is about and what to expect.
76,Talk #62,Speaker #62,Abstract text here. This is what the session is about and what to expect.
77,Talk #63,Speaker #63,Abstract text here. This is what the session is about and what to expect.
78,Talk #64,Speaker #64,Abstract text here. This is what the session is about and what to expect.
79,"Awards Ceremony, Silent Auction, Raffle, and Dinner",MC,Abstract text here. This is what the session is about and what to expect.
